PIN,sale_price,sale_year,sale_mm,sale_dd,sale_date,snapshot_year,year_built,acres,elevation,dist_water_ft,date,highest,surge_detrended,log_price,surge_x_elev,surge_x_dist
40002 03005,320000,2015,5,21,2015-05-01,2020,2014,0.05,2.9852542877197266,181.42093450205797,2015-05-01,8.944,-0.27173438765361746,12.676076274775909,-0.8111962458638559,-49.29830654446376
40002 03012,80000,2017,10,13,2017-10-01,2020,2020,0.06,2.6176953315734863,195.81231712757133,2017-10-01,9.066,-0.22232427036104116,11.289781913656018,-0.581977204619579,-43.5338305330921
40002 03013,100000,2013,7,23,2013-07-01,2020,2014,0.29,2.5958175659179688,219.28801547833703,2013-07-01,9.19,0.02920071588853773,11.512925464970229,0.07579973124084617,6.403367037744184
40002 03016A,175000,2000,6,9,2000-06-01,2020,1990,0.22,2.4336166381835938,254.14286132840337,2000-06-01,9.25,0.48154738961712407,12.072541252905651,1.1719017394461106,122.38183146251939
40002 03024,80000,2020,12,22,2020-12-01,2020,NA,0.06,2.328233242034912,202.19000308415514,2020-12-01,9.568,0.18466838315424158,11.289781913656018,0.4299510684125452,37.33810095950205
40002 04010,202500,2001,9,14,2001-09-01,2020,1998,0.19,2.792940616607666,330.3607129547607,2001-09-01,9.991,1.1850207194844395,12.218495165528731,3.3096924989697305,391.48428975504294
40002 04012,250000,2012,6,6,2012-06-01,2020,1998,0.19,2.5417699813842773,365.33814634361977,2012-06-01,9.742,0.6136362404014717,12.429216196844383,1.5597221753419666,224.1847265975415
40002 04015,389900,2014,8,29,2014-08-01,2020,1998,0.22,2.5577940940856934,308.8977265935946,2014-08-01,9.289,0.09568307612367397,12.87364557497069,0.24473760701308508,29.55628468808474
40002 04016,166000,2000,11,28,2000-11-01,2020,1998,0.2,2.5917086601257324,296.9228184771084,2000-11-01,9.148,0.36698375607160816,12.01974306733868,0.9511149787362562,108.96585118809755
40002 05002,92000,2005,1,26,2005-01-01,2020,NA,0.13,2.685134172439575,350.1990278701565,2005-01-01,8.841,-0.06499565736809669,11.429543856031177,-0.1745220606592505,-22.761416026089236
40002 05004,135887,2005,2,21,2005-02-01,2020,NA,0.45,3.065492868423462,397.1724668295593,2005-02-01,9.2,0.2914587698220276,11.819578936991181,0.893464780328901,115.75939858932342
40002 05005,750000,2019,5,15,2019-05-01,2020,1910,0.21,3.0369791984558105,353.3913376614173,2019-05-01,9.164,-0.17170477072550305,13.527828485512494,-0.521463816968977,-60.67897860953249
40002 05009,92000,2005,1,26,2005-01-01,2020,NA,0.2,1.945235013961792,351.0736799761323,2005-01-01,8.841,-0.06499565736809669,11.429543856031177,-0.12643182846788542,-22.818264614685525
40002 05010,399000,2013,3,22,2013-03-01,2020,1998,0.23,2.2991199493408203,327.8792390420109,2013-03-01,9.092,-0.058781223375821354,12.896716695872,-0.13514508331000982,-19.27314279042277
40002 05012,501300,2012,2,3,2012-02-01,2020,2004,0.23,2.3322601318359375,285.55301582223507,2012-02-01,8.521,-0.59742781411482,13.124960003251594,-1.393357072509886,-170.59731405657251
40002 05014,362900,2011,3,7,2011-03-01,2020,2003,0.21,2.797882318496704,313.06416648141527,2011-03-01,8.892,-0.19875497421391444,12.801882593201162,-0.5560930280663796,-62.22306033631431
40002 05015,430000,2019,6,12,2019-06-01,2020,1999,0.21,2.644043445587158,333.1434316588405,2019-06-01,9.292,-0.04625034353537867,12.971540487669746,-0.12228791768087237,-15.40799816077632
40002 06001,735000,2018,10,26,2018-10-01,2020,2014,0.13,2.2515053749084473,330.52951235786156,2018-10-01,9.184,-0.13429633731603083,13.507625778194974,-0.30236892529756126,-44.38890288451456
40002 07001,743874,2020,9,30,2020-09-01,2020,1929,0.51,2.29086971282959,366.9522669274722,2020-09-01,9.893,0.5171408710800068,13.51962694463437,1.1847023588234993,189.76601496365615
40002 08005,111000,2019,4,10,2019-04-01,2020,2021,0.08,2.5073189735412598,348.38303682626344,2019-04-01,9.092,-0.24124131316755795,11.617285480294472,-0.604868921707027,-84.0443812892695
40002 09002,654464,2014,12,22,2014-12-01,2020,1935,0.18,2.4915080070495605,306.2589884958841,2014-12-01,9.2,-0.003334984611966345,13.391571858999617,-0.008309140864101219,-1.0213690139101514
40002 10001,555000,2017,8,4,2017-08-01,2020,1975,0.29,4.073554992675781,245.26683039869874,2017-08-01,9.059,-0.2243152399932227,13.226723392728571,-0.9137604658076584,-55.01708792326116
40002 11002,325000,2016,5,13,2016-05-01,2020,1910,0.1,3.6960864067077637,292.1531773138644,2016-05-01,9.696,0.45021143013946174,12.691580461311874,1.6640203470829265,131.53069977826263
40002 11004,530000,2014,3,27,2014-03-01,2020,1910,0.15,3.311415672302246,320.9405495190227,2014-03-01,9.541,0.36024670966919026,13.180632285528304,1.1929266002938737,115.61777696364975
40002 11005,436000,2016,12,29,2016-12-01,2020,1910,0.08,3.4709653854370117,302.24662220264423,2016-12-01,9.466,0.20263876622612573,12.985397522331171,0.703352143318545,61.246882619157766
40002 11008,227000,2003,7,14,2003-07-01,2020,1912,0.11,2.6920742988586426,253.56966739739812,2003-07-01,8.357,-0.5038322688057856,12.332705296463539,-1.3563539017876944,-127.75658082515953
40002 11009,353000,2019,5,29,2019-05-01,2020,1910,0.08,3.4016714096069336,294.42293869328785,2019-05-01,9.164,-0.17170477072550305,12.774223335915433,-0.5840832094700573,-50.553823184659834
40002 11010,200000,2006,6,2,2006-06-01,2020,1950,0.07,3.494490623474121,284.9916950861306,2006-06-01,8.663,-0.28536712736473663,12.206072645530174,-0.9972127508238174,-81.32726134953602
40002 11012,77500,2002,8,2,2002-08-01,2020,1910,0.08,3.8377652168273926,262.0135358776644,2002-08-01,9.584,0.7505942253393273,11.258033215341438,2.880604409958772,196.66584699051356
40002 12004,379190,2012,1,6,2012-01-01,2020,1994,0.15,3.3417999744415283,331.4413309531064,2012-01-01,8.538,-0.5778822413049448,12.845792677707259,-1.9311668592230777,-191.5340591922751
40002 12005,290000,2018,3,27,2018-03-01,2020,1939,0.14,3.1324875354766846,319.21833796510214,2018-03-01,8.751,-0.5497236734026951,12.577636201962656,-1.7220025548903983,-175.48187736367896
40002 12014,210000,2017,7,13,2017-07-01,2020,1910,0.31,2.7202646732330322,313.21855304258514,2017-07-01,9.341,0.06023033281665306,12.254862809699606,0.16384244661820951,18.865257694105402
40002 12015,182496,2002,4,15,2002-04-01,2020,1995,0.1,3.3962600231170654,324.18962315499965,2002-04-01,9.259,0.43561228607496794,12.114483533956266,1.4794525927750484,141.22098286433175
40002 12019,190000,2018,3,27,2018-03-01,2020,NA,0.32,3.2133216857910156,288.37575777064876,2018-03-01,8.751,-0.5497236734026951,12.154779351142624,-1.7664390009375779,-158.52698088196684
40002 12020,1025000,2017,12,27,2017-12-01,2020,1890,0.51,3.3841705322265625,333.86041422464405,2017-12-01,9.738,0.4446666992711377,13.840203170554645,1.504827940335835,148.45660841056727
40002 13001C,100000,2018,4,27,2018-04-01,2020,1995,0.2,2.103240966796875,263.71050608279205,2018-04-01,8.59,-0.7132692462125704,11.512925464970229,-1.5001770989906047,-188.09659389200854
40002 13002B,335000,2018,1,12,2018-01-01,2020,1985,0.15,2.832775115966797,236.47913918695446,2018-01-01,9.719,0.4231211264612619,12.721885810807203,1.1986069980793028,100.0593197573737
40002 13002C,302500,2008,1,22,2008-01-01,2020,1982,0.15,2.5210347175598145,234.16833928845085,2008-01-01,8.528,-0.46791185823306025,12.619836556453032,-1.179622039363471,-109.57014277580876
40002 13002D,216000,2003,8,1,2003-08-01,2020,1986,0.16,2.816913604736328,233.51032644171536,2003-08-01,8.269,-0.5943778416156604,12.283033686666302,-1.6743110284009683,-138.79336382539506
40002 14005,447500,2020,12,11,2020-12-01,2020,1986,0.09,2.123311996459961,177.8078786416423,2020-12-01,9.568,0.18466838315424158,13.011431816697048,0.3921085933182657,32.83549346083769
40002 15007,355000,2016,11,18,2016-11-01,2020,1932,0.11,2.03157901763916,102.20194638676584,2016-11-01,10.053,0.7921022237840715,12.779873068457553,1.609218257665038,80.95438900801767
40002 15008,110000,2018,1,19,2018-01-01,2020,2019,0.11,1.6746947765350342,85.30212554243059,2018-01-01,9.719,0.4231211264612619,11.608235644774552,0.7085987403262949,36.09313144905321
40002 16003,325000,2010,7,22,2010-07-01,2020,2000,0.17,1.8366978168487549,110.61447544377448,2010-07-01,8.935,-0.1358009679945651,12.691580461311874,-0.24942534144156533,-15.021552839475625
40002 16005,378000,2019,9,25,2019-09-01,2020,1930,0.08,2.0917813777923584,75.24468834236892,2019-09-01,9.938,0.5921950532869266,12.842649474601725,1.2387425844863464,44.55953222246734
40002 16006,310000,2020,2,27,2020-02-01,2020,1987,0.08,1.8965845108032227,61.990598795298006,2020-02-01,8.885,-0.47336858025858985,12.644327576461329,-0.8977835172193537,-29.34440174111007
40002 16010,675000,2020,8,21,2020-08-01,2020,2003,0.11,1.9224554300308228,92.76556653956631,2020-08-01,9.207,-0.1663135561101174,13.422467969854667,-0.3197303990316311,-15.428171255764989
40002 16010A,560000,2020,7,2,2020-07-01,2020,1900,0.14,1.8014907836914062,109.49906393271924,2020-07-01,9.194,-0.1767679833002416,13.235692062711331,-0.31844589276710167,-19.355928704651003
40002 18005,299000,2012,9,7,2012-09-01,2020,1925,0.2,2.288195848464966,271.0231919795651,2012-09-01,8.59,-0.5459183627762251,12.608198852372823,-1.2491681313053493,-147.95653723987073
40002 18007,350000,2007,6,20,2007-06-01,2020,2007,0.22,2.4947471618652344,262.51647159666396,2007-06-01,9.709,0.7306608056802745,12.765688433465597,1.8228139712570302,191.8104966411614
40002 18008,501500,2019,3,15,2019-03-01,2020,2006,0.22,2.5876989364624023,271.72734957118627,2019-03-01,9.423,0.09230425964231725,13.125358886384127,0.2388556345073738,25.08159182673748
40002 18011,225000,2018,8,3,2018-08-01,2020,2022,0.3,2.425706624984741,272.42648756370096,2018-08-01,9.2,-0.1132873069482109,12.323855681186558,-0.2748017709909551,-30.862463117451952
40002 18012,460000,2010,8,30,2010-08-01,2020,1925,0.28,2.5558505058288574,259.2023137462148,2010-08-01,9.374,0.3006534591955593,13.038981768465277,0.768425295764166,77.93007225929216
40002 20003,250000,2005,5,2,2005-05-01,2020,NA,0.1,3.2617785930633545,128.09430073661974,2005-05-01,9.269,0.3531505124001272,12.429216196844383,1.1518987814760895,45.236567940673254
40002 20008,395000,2015,3,18,2015-03-01,2020,1985,0.19,2.6726551055908203,214.60994618096873,2015-03-01,9.443,0.23227464271420126,12.886641043883259,0.6207900097493936,49.84844857209848
40002 20010,875000,2010,3,17,2010-03-01,2020,1914,0.36,4.674422740936279,204.8784317761328,2010-03-01,8.8,-0.26078290725892495,13.681979165339751,-1.2190095521385955,-53.42879307322922
40002 20014,1150000,2019,7,30,2019-07-01,2020,1910,0.49,5.0670061111450195,213.5716179392271,2019-07-01,9.473,0.13228619890667803,13.955272500339433,0.6702949782802832,28.252577531529642
40002 20021,405000,2006,3,14,2006-03-01,2020,1983,0.02,3.2421441078186035,174.02045197912742,2006-03-01,8.803,-0.1378125241870404,12.911642346088676,-0.4468080632766218,-23.9821977474132
40002 20022,430000,2006,5,24,2006-05-01,2020,1983,0.02,3.276057481765747,168.70939624660872,2006-05-01,8.674,-0.2718215545548616,12.971540487669746,-0.8905030375046507,-45.85885035576532
40002 20024,375000,2013,1,28,2013-01-01,2020,1983,0.02,3.8341314792633057,152.95109376770014,2013-01-01,8.738,-0.4079364235118653,12.834681304952548,-1.5640818829249306,-62.39432216382355
40002 20025,440000,2020,9,29,2020-09-01,2020,1983,0.02,3.996354818344116,147.68896100388255,2020-09-01,9.893,0.5171408710800068,12.994530005894443,2.0666784119032586,76.37599794244899
40002 20026,500000,2019,12,12,2019-12-01,2020,1983,0.02,3.6667542457580566,142.44274874827315,2019-12-01,9.384,0.030722565361162024,13.122363377404328,0.11265209697862026,4.376206658642402
40002 20028,1390000,2017,2,28,2017-02-01,2020,2006,0.31,4.669731140136719,191.55346323885396,2017-02-01,8.164,-1.1044523793936254,14.144814305106875,-5.157495668852506,-211.56167825524162
40002 20029,1406250,2020,7,31,2020-07-01,2020,2005,0.3,4.451905250549316,179.54451298086778,2020-07-01,9.194,-0.1767679833002416,14.156437144934868,-0.7869543129833595,-31.737721472252048
40002 20032,490000,2012,6,25,2012-06-01,2020,1897,0.23,5.059409141540527,215.74981811437138,2012-06-01,9.742,0.6136362404014717,13.102160670086809,3.1046368042677663,132.39190725500418
40002 21003,549000,2011,2,28,2011-02-01,2020,1902,0.34,2.178577423095703,65.59643797923398,2011-02-01,8.564,-0.5244557471598326,13.215853720491667,-1.1425674501751997,-34.40242889142277
40002 24004,1500000,2016,4,22,2016-04-01,2020,2004,0.54,3.293621778488159,61.3567401765458,2016-04-01,9.02,-0.2233251123025942,14.22097566607244,-0.7355484535631381,-13.702500890448183
40002 24008,220000,2012,3,19,2012-03-01,2020,NA,0.23,2.504774808883667,149.61568717784613,2012-03-01,9.023,-0.09780915642083395,12.301382825334498,-0.24498991108106705,-14.63378415018851
40002 24013,975000,2020,7,2,2020-07-01,2020,NA,0.55,3.398364305496216,63.19520921464875,2020-07-01,9.194,-0.1767679833002416,13.790192749979985,-0.6007220048020923,-11.170889687110304
40002 24014,1600000,2020,7,2,2020-07-01,2020,2003,0.17,2.660468578338623,101.84856045251415,2020-07-01,9.194,-0.1767679833002416,14.28551418721001,-0.4702856652265792,-18.003564633223668
40002 24015,600000,2001,1,15,2001-01-01,2020,1996,0.17,2.581373929977417,126.67932569211419,2001-01-01,8.833,0.046974725703788675,13.304684934198283,0.12125933229960016,5.950726576727973
40002 24019,925000,2016,6,29,2016-06-01,2020,2006,0.1,2.468289375305176,116.31448967639373,2016-06-01,9.663,0.41466585732958655,13.737549016494562,1.0235153299484303,48.231647581515155
40002 24021,700000,2019,9,13,2019-09-01,2020,1994,0.09,2.521376132965088,101.98791403017695,2019-09-01,9.938,0.5921950532869266,13.458835614025542,1.4931464734176452,60.39673818372312
40002 24023,1450000,2003,10,10,2003-10-01,2020,1993,0.28,3.7438266277313232,67.27511860653519,2003-10-01,8.856,-0.012386871983480745,14.187074114396758,-0.04637430116605433,-0.833328281852635
40002 24024,10,2019,2,28,2019-02-01,2020,1993,0.36,3.517777919769287,66.08921150804618,2019-02-01,9.893,0.5646034866963991,2.302585092994046,1.9861496789253454,37.31419925045866
40002 24033,1090000,2017,12,28,2017-12-01,2020,1994,0.16,2.66007661819458,110.42302360153222,2017-12-01,9.738,0.4446666992711377,13.901688254205327,1.1828474896209145,49.101441428432274
40002 24034,415000,2020,5,20,2020-05-01,2020,NA,0.16,2.289837598800659,87.19942301622486,2020-05-01,9.341,-0.024758952932423157,12.936033799212835,-0.05669398133159838,-2.158966410193168
40002 24036,1715000,2017,4,27,2017-04-01,2020,1996,0.42,2.5694968700408936,55.87163076396644,2017-04-01,9.423,0.14970282074241803,14.354923638582177,0.3846609293339361,8.364140724844637
40002 24037,715000,2012,3,19,2012-03-01,2020,1997,0.18,2.5705621242523193,87.98697845633797,2012-03-01,9.023,-0.09780915642083395,13.480037821676145,-0.2514245129004663,-8.605932138832507
40002 24041,283000,2003,6,27,2003-06-01,2020,1987,0.04,2.5678977966308594,100.44749563070273,2003-06-01,8.777,-0.08136881124784141,12.553202176625375,-0.20894679111780426,-8.173293312293026
40002 24042,360000,2013,9,20,2013-09-01,2020,1987,0.04,2.5868873596191406,91.9655874876564,2013-09-01,9.295,0.12910957026878672,12.793859310432293,0.3339919153341836,11.873637480047828
40002 24045,365000,2019,8,9,2019-08-01,2020,1987,0.04,2.6985836029052734,66.62710802156666,2019-08-01,10.047,0.7037406260968022,12.80765263256463,1.8991029142831215,46.888202714116595
40002 24049,320000,2016,4,8,2016-04-01,2020,NA,0.21,2.3117055892944336,143.0586018253174,2016-04-01,9.02,-0.2233251123025942,12.676076274775909,-0.516261910339714,-31.948578318491116
40002 24050,995000,2016,7,19,2016-07-01,2020,1995,0.23,2.828777551651001,136.8400641125841,2016-07-01,9.125,-0.12579760022835798,13.81049801614073,-0.3558534275775459,-17.21415168045773
40003 01006,413000,2016,2,19,2016-02-01,2020,1942,0.12,2.1501047611236572,187.93670461717915,2016-02-01,9.069,-0.16939819718670446,12.931202871943169,-0.36422387029689735,-31.836138947360343
40003 01024A,349000,2019,8,2,2019-08-01,2020,1986,0.24,1.8862838745117188,56.93741922423211,2019-08-01,10.047,0.7037406260968022,12.762827201184564,1.3274545948451788,40.069175053197206
40003 01025A,349900,2014,4,30,2014-04-01,2020,1985,0.29,1.556544542312622,28.1371755044605,2014-04-01,9.233,0.04970113685931471,12.765402678355779,0.077362033325099,1.3984496105817488
40003 01036,272000,2001,3,30,2001-03-01,2020,2000,0.19,2.194859027862549,89.79167955249828,2001-03-01,8.997,0.20612992583983136,12.513557345278134,0.45242612864219156,18.508752247190372
40003 01038,300000,2009,11,23,2009-11-01,2020,2003,0.16,2.26754093170166,106.15385986602779,2009-11-01,9.417,0.3660709229728511,12.611537753638338,0.8300808017467455,38.85984145828749
40003 01039,431500,2013,1,16,2013-01-01,2020,2001,0.16,2.0845963954925537,107.69108686993002,2013-01-01,8.738,-0.4079364235118653,12.97502278950562,-0.8503827980429582,-43.93111682182485
40003 01040,475000,2018,2,15,2018-02-01,2020,1999,0.19,2.4598660469055176,135.45656423966392,2018-02-01,9.315,0.016575553651386233,13.071070083016778,0.04077364163570577,2.245267547986995
40003 01041,230000,2000,8,4,2000-08-01,2020,2000,0.15,2.332535743713379,145.34186811793288,2000-08-01,9.243,0.4695383592493044,12.345834587905333,1.095215005993536,68.24358228632299
40003 01042,350000,2009,8,12,2009-08-01,2020,2000,0.15,2.5835797786712646,161.46999618028096,2009-08-01,9.24,0.19662552615054715,12.765688433465597,0.5079977333331516,31.749122956474583
40003 01047,380000,2018,7,6,2018-07-01,2020,1930,0.08,2.2512993812561035,131.61998593799703,2018-07-01,9.551,0.24025826586166568,12.84792653170257,0.5408932852760324,31.622789574199988
40003 01048,300000,2020,2,28,2020-02-01,2020,2006,0.08,1.9101437330245972,116.63982910747198,2020-02-01,8.885,-0.47336858025858985,12.611537753638338,-0.9042020269916965,-55.21363030620856
40003 01049,120000,2019,11,18,2019-11-01,2020,NA,0.08,1.9624698162078857,206.7314167459574,2019-11-01,9.466,0.11518602291910522,11.695247021764184,0.22604909322777375,23.812569707398943
40003 01050,395000,2006,12,27,2006-12-01,2020,1939,0.09,2.199887990951538,223.05013454192917,2006-12-01,8.593,-0.3703942184681967,12.886641043883259,-0.8148257931260663,-82.61648026288398
40003 01055,365000,2020,7,17,2020-07-01,2020,1979,0.08,2.138049364089966,74.24663803335203,2020-07-01,9.194,-0.1767679833002416,12.80765263256463,-0.37793867428654726,-13.124428471978653
40003 02007,75000,2015,7,17,2015-07-01,2020,NA,0.1,2.3112618923187256,88.33133916525713,2015-07-01,9.082,-0.13874341802143753,11.225243392518447,-0.32067237488299566,-12.255391914198647
40003 02008,90000,2015,10,13,2015-10-01,2020,NA,0.1,2.133599281311035,103.45045970970014,2015-10-01,10.427,1.1987019788008657,11.407564949312402,2.557549680475643,124.00627076187679
40003 02010,245000,2002,8,28,2002-08-01,2020,1997,0.14,2.346687078475952,116.68420948257797,2002-08-01,9.584,0.7505942253393273,12.409013489526863,1.7614097697824664,87.5824938259074
40003 02016,500000,2002,10,17,2002-10-01,2020,NA,0.25,2.245058059692383,129.76212511036456,2002-10-01,9.141,0.3025851949715077,13.122363377404328,0.6793213307143744,39.26409792643684
40003 02017,383000,2005,9,1,2005-09-01,2020,2006,0.1,2.5484142303466797,164.12699234875095,2005-09-01,9.092,0.16605033641255623,12.855790268162783,0.42316504026761176,27.253342293891137
40003 02018,224000,2011,3,21,2011-03-01,2020,2004,0.1,2.6570050716400146,148.95607827748438,2011-03-01,8.892,-0.19875497421391444,12.319401330837177,-0.528092974500051,-29.60576149704723
40003 02020,175000,2009,2,9,2009-02-01,2020,NA,0.04,2.3674983978271484,82.69484243998596,2009-02-01,7.927,-1.1015116132498566,12.072541252905651,-2.607826979557033,-91.08932930351165
40003 04002,280000,2009,12,21,2009-12-01,2020,1985,0.08,2.364509344100952,109.75390807762469,2009-12-01,9.286,0.23260746541490662,12.542544882151386,0.5500025254811858,25.529578377316923
40003 04006,220000,2012,4,3,2012-04-01,2020,NA,0.15,2.97019624710083,129.1495031974242,2012-04-01,9.459,0.3356452707692903,12.301382825334498,0.996932323596088,43.34841997041877
