"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2005/04/01","00:00","8.882","7.576","7.202","3.879","3.721","0.24","0.05","-1.338","0"
"2005/05/01","00:00","9.269","7.881","7.445","4.161","3.982","0.519","0.368","-0.806","0"
"2005/06/01","00:00","8.98","7.888","7.438","4.161","3.999","0.559","0.355","-1.146","0"
"2005/07/01","00:00","8.846","7.648","7.137","3.83","3.685","0.234","0.027","-1.741","0"
"2005/08/01","00:00","9.105","7.894","7.471","4.289","4.14","0.808","0.611","-1.088","0"
"2005/09/01","00:00","9.092","8.2","7.832","4.788","4.619","1.405","1.257","-0.468","0"
"2005/10/01","00:00","9.817","8","7.727","4.689","4.533","1.339","1.162","-0.354","0"
"2005/11/01","00:00","8.265","7.383","6.969","3.833","3.69","0.411","0.188","-1.367","0"
"2005/12/01","00:00","8.482","7.261","6.772","3.508","3.377","-0.019","-0.331","-1.734","0"
"2006/01/01","00:00","8.419","7.245","6.858","3.492","3.337","-0.183","-0.426","-1.97","0"
"2006/02/01","00:00","8.613","7.002","6.651","3.429","3.285","-0.084","-0.363","-1.981","0"
"2006/03/01","00:00","8.803","7.425","7.068","3.685","3.541","0.014","-0.157","-2.02","0"
"2006/04/01","00:00","9.121","7.419","7.015","3.702","3.557","0.099","-0.075","-1.541","0"
"2006/05/01","00:00","8.674","7.835","7.33","4.079","3.907","0.483","0.339","-1.282","0"
"2006/06/01","00:00","8.663","7.586","7.051","3.81","3.654","0.257","0.047","-1.102","0"
"2006/07/01","00:00","8.158","7.265","6.786","3.583","3.444","0.103","-0.088","-1.242","0"
"2006/08/01","00:00","8.8","7.576","7.127","3.938","3.779","0.431","0.234","-1.364","0"
"2006/09/01","00:00","9.322","7.885","7.498","4.394","4.236","0.975","0.782","-0.396","0"
"2006/10/01","00:00","9.368","7.658","7.255","4.158","4.01","0.765","0.598","-0.619","0"
"2006/11/01","00:00","9.276","7.675","7.228","4.013","3.894","0.559","0.381","-0.606","0"
"2006/12/01","00:00","8.593","7.566","7.051","3.77","3.633","0.214","-0.048","-1.682","0"
"2007/01/01","00:00","8.524","7.291","6.822","3.557","3.424","0.027","-0.278","-1.617","0"
"2007/02/01","00:00","8.561","7.071","6.71","3.433","3.31","-0.091","-0.331","-2.299","0"
"2007/03/01","00:00","8.419","7.248","6.877","3.574","3.449","0.02","-0.206","-2.247","0"
"2007/04/01","00:00","9.597","7.399","7.005","3.761","3.593","0.181","-0.022","-3.365","0"
"2007/05/01","00:00","9.325","7.95","7.402","4.282","4.115","0.828","0.624","-1.197","0"
"2007/06/01","00:00","9.709","7.904","7.36","4.21","4.046","0.732","0.454","-0.331","0"
